img_name,tnbc,CAF,firstorder_Mean,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Entropy,firstorder_Minimum,firstorder_Maximum,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,shape2D_MeshSurface,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MaximumDiameter,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,glcm_JointEnergy,glcm_Contrast,glcm_Correlation,glcm_SumSquares,glcm_SumAverage,glcm_JointEntropy,glcm_DifferenceVariance,glcm_DifferenceEntropy,glcm_DifferenceAverage,glcm_Imc1,glcm_Imc2,glcm_Autocorrelation,glcm_ClusterShade,glcm_ClusterProminence,glcm_MaximumProbability,glcm_InverseVariance
segment_74,1,0,93.78873239,35.30028747,-1.71284393,4.85113953,1.87099328,0,130,107,18,130,50.5,71,175.9655121,3.48446559,0.143160453,6.985169302,263.1539473,304.8299685,125.6727769,0.412271725,0.45480372,0.36363636,0.25694444,0.98278237,9.81818182,1.33931055,0.02754821,0.146499,0.36363636,-0.8333707,0.89002974,25.08333333,-13.19909842,110.6938506,0.56060606,0.36363636
segment_75,1,0,71.85393258,42.9173626,-0.37004931,1.7267424,2.42104647,0,130,77,72,130,55.5,89,233.5046174,4.2072904,0.113098267,8.841868451,287.1532692,349.3828676,274.446569,0.785518107,0.28179931,0.24705882,0.92009756,2.42792388,8.09411765,2.38803025,0.18380623,0.79795457,0.24705882,-0.71312909,0.95386885,18.74705882,-11.99512966,190.2969257,0.41764706,0.24705882
segment_76,1,0,83.28571429,47.58335329,-0.3656113,1.82427437,2.51957619,0,149,90.5,78.25,149,45,70,181.4213562,4.03158569,0.131075879,7.629168735,325.3828514,343.1805732,216.4329795,0.630667924,0.37486415,0.14835165,0.97751164,3.73953931,7.65384615,1.85521385,0.12631325,0.60552749,0.14835165,-0.73607434,0.93518791,18.76373626,-25.76207816,474.7574765,0.55494505,0.14835165
segment_77,1,0,78.43809524,39.92014023,-0.71493606,2.03906233,2.10265551,1,127,98,60,126,63.5,105,278.7594514,4.38991262,0.101335635,9.868196901,292.897593,293.9275378,261.8585352,0.890894869,0.64804498,0.07941176,0.97974231,0.96609862,9.00882353,1.06287402,0.06595156,0.31112187,0.07941176,-0.3404765,0.46810814,21.46764706,-13.87430328,94.32804809,0.73235294,0.07941176
segment_78,1,1,63.78431373,26.91403433,-0.99498659,3.07696567,1.85280438,5,103,69,26,98,30,51,136.7939392,4.55979797,0.141938007,7.045329296,313.0191687,350.9061693,272.625712,0.776919119,0.51388889,0.27777778,0.64327485,0.50694444,6.83333333,1.40359236,0.12037037,0.52277275,0.27777778,-0.26197107,0.50812674,12.22222222,-4.5,23.85416667,0.61111111,0.27777778
segment_79,1,1,47.95918367,33.96694623,0.16780144,1.82238108,2.19534505,2,116,51,64,114,29.5,49,130.3086579,4.41724264,0.147755164,6.767952963,324.8214894,366.2310119,269.9803508,0.737185935,0.68554688,0.09375,0.98073836,0.67089844,3.21875,0.82015977,0.05859375,0.2386085,0.09375,-0.41009745,0.46743248,3.84375,-2.90332031,28.67266846,0.71875,0.09375
segment_8,1,0,83.5505618,33.73825596,-1.13509891,3.26585072,2.05521276,2,126,96,41,124,60.5,89,225.2203461,3.72265035,0.122426377,8.168174406,289.3527259,348.3436852,215.3503918,0.618212418,0.2900463,0.29444444,0.71779016,0.84488426,7.88333333,2.07230169,0.20657407,0.87028829,0.29444444,-0.43924129,0.80554882,16.85,-4.03525,25.49003387,0.39444444,0.29444444
segment_80,1,1,58.95555556,37.87462097,-0.10757794,1.81598693,2.18627711,2,124,61,70,122,26.5,45,120.6518036,4.55289825,0.151249536,6.611590539,283.1960452,312.0684098,143.594016,0.46013634,0.29166667,0.5,0.78648019,1.72916667,4.5,2,0.25,1,0.5,-0.82563401,0.96504589,6.83333333,1,67.35416667,0.41666667,0.5
segment_81,1,1,56.09803922,29.2482645,-0.11634968,1.9364661,2.12905957,1,111,56,50.5,110,31.5,51,134.3086579,4.26376692,0.148134494,6.750622154,252.7647127,260.7314931,134.303256,0.515101779,0.27864583,0.45833333,0.76014109,1.09244792,5.45833333,2.125,0.24479167,0.98481133,0.45833333,-0.71809493,0.9387224,8.5,2.39453125,25.82527669,0.41666667,0.45833333
segment_82,1,1,69.44615385,36.03162319,-0.79334741,2.19216154,2.12073433,1,117,84,42,116,39,65,173.0782105,4.43790283,0.127907155,7.81817092,287.7846417,330.4204343,221.981704,0.671815908,0.57864583,0.175,0.6602487,1.14869792,5.625,1.21531686,0.11645833,0.50483835,0.175,-0.31410024,0.4463072,10.66666667,-6.93359375,72.55626628,0.7,0.175
